frontend,backend,database,response_time,frontend_cpu_usage,frontend_memory_usage,frontend_pods,frontend_ssd,backend_cpu_usage,backend_memory_usage,backend_pods,backend_ssd,database_cpu_usage,database_memory_usage,database_pods,database_ssd
jura-worker-3,jura-worker-3,jura-worker-3,6.319882,0.27,0.31,3,True,0.27,0.31,3,True,0.27,0.31,3,True
jura-worker-3,jura-worker-1,jura-worker-2,7.634203,0.01,0.21,1,True,0.89,0.57,2,False,0.17,0.28,1,False
jura-worker-1,jura-worker-1,jura-worker-3,6.926803,0.91,0.59,3,False,0.91,0.59,3,False,0.15,0.27,1,True
jura-worker-2,jura-worker-4,jura-worker-2,6.43687,0.21,0.29,2,False,0.01,0.25,1,True,0.21,0.29,2,False
jura-worker-1,jura-worker-3,jura-worker-1,7.074182,0.93,0.58,3,False,0.01,0.25,1,True,0.93,0.58,3,False
jura-worker-2,jura-worker-1,jura-worker-3,7.16642,0.02,0.25,1,False,0.9,0.58,2,False,0.01,0.25,1,True
jura-worker-3,jura-worker-1,jura-worker-3,7.095902,0.17,0.28,2,True,0.9,0.58,2,False,0.17,0.28,2,True
jura-worker-1,jura-worker-4,jura-worker-1,7.093196,0.93,0.6,3,False,0.01,0.25,1,True,0.93,0.6,3,False
jura-worker-1,jura-worker-1,jura-worker-3,7.785424,0.9,0.59,3,False,0.9,0.59,3,False,0.18,0.27,1,True
jura-worker-4,jura-worker-2,jura-worker-1,6.741395,0.01,0.23,1,True,0.02,0.27,1,False,0.93,0.58,2,False
jura-worker-3,jura-worker-3,jura-worker-1,6.81069,0.07,0.26,2,True,0.07,0.26,2,True,0.92,0.58,2,False
jura-worker-4,jura-worker-3,jura-worker-3,6.535107,0.01,0.23,1,True,0.07,0.32,2,True,0.07,0.32,2,True
jura-worker-3,jura-worker-3,jura-worker-1,6.597816,0.01,0.27,2,True,0.01,0.27,2,True,0.92,0.58,2,False
jura-worker-2,jura-worker-4,jura-worker-2,6.721021,0.26,0.28,2,False,0.01,0.25,1,True,0.26,0.28,2,False
jura-worker-3,jura-worker-3,jura-worker-3,6.561214,0.19,0.33,3,True,0.19,0.33,3,True,0.19,0.33,3,True
jura-worker-3,jura-worker-4,jura-worker-4,6.608896,0.01,0.21,1,True,0.04,0.27,2,True,0.04,0.27,2,True
jura-worker-3,jura-worker-1,jura-worker-1,8.3304,0.01,0.21,1,True,0.92,0.63,3,False,0.92,0.63,3,False
jura-worker-2,jura-worker-2,jura-worker-3,6.729274,0.02,0.28,2,False,0.02,0.28,2,False,0.11,0.27,1,True
jura-worker-1,jura-worker-2,jura-worker-3,6.67966,0.91,0.55,2,False,0.1,0.27,1,False,0.25,0.27,1,True
jura-worker-1,jura-worker-1,jura-worker-3,8.159418,0.9,0.59,3,False,0.9,0.59,3,False,0.05,0.27,1,True
jura-worker-1,jura-worker-4,jura-worker-1,6.923432,0.93,0.6,3,False,0.05,0.25,1,True,0.93,0.6,3,False
jura-worker-3,jura-worker-2,jura-worker-3,6.752557,0.13,0.28,2,True,0.02,0.27,1,False,0.13,0.28,2,True
jura-worker-4,jura-worker-3,jura-worker-3,6.478709,0.01,0.23,1,True,0.27,0.32,2,True,0.27,0.32,2,True
jura-worker-3,jura-worker-3,jura-worker-4,6.794554,0.01,0.26,2,True,0.01,0.26,2,True,0.05,0.26,1,True
jura-worker-3,jura-worker-1,jura-worker-1,8.219321,0.04,0.22,1,True,0.94,0.64,3,False,0.94,0.64,3,False
jura-worker-1,jura-worker-3,jura-worker-4,6.938886,0.9,0.55,2,False,0.01,0.25,1,True,0.11,0.26,1,True
jura-worker-1,jura-worker-1,jura-worker-4,9.008704,0.91,0.6,3,False,0.91,0.6,3,False,0.27,0.26,1,True
jura-worker-4,jura-worker-1,jura-worker-4,7.948072,0.1,0.27,2,True,0.9,0.59,2,False,0.1,0.27,2,True
jura-worker-2,jura-worker-2,jura-worker-4,6.546072,0.02,0.28,2,False,0.02,0.28,2,False,0.01,0.26,1,True
